prob,lower,upper,type
0.012923184278258842,0.0,0.0474105812220566,true
0.04994046058194759,0.0,0.128453947368421,true
0.1487299850973124,0.0,0.39269230769230756,true
0.5436540550952317,0.17386363636363636,0.9524999999999991,true
0.7928981990231986,0.4361111111111111,1.0,true
1.0,1.0,1.0,true
0.8269816812070981,0.6131410256410257,0.9784090909090906,true
0.8929132035399711,0.7442934782608696,1.0,true
0.9132671799404243,0.7828877005347593,1.0,true
0.9127970093617095,0.8402123633305298,0.9638719512195122,true
0.05346533953756074,0.04747951505827257,0.058573452699232524,pred
0.1448291731825519,0.1354623899202879,0.15434804217803536,pred
0.2324960176540214,0.21531735290024548,0.2518008384413515,pred
0.3356160442365315,0.3206256129211656,0.3566839432362434,pred
0.4652293539136034,0.4447608744618636,0.4812212854757647,pred
0.5534082901945719,0.5384164614331862,0.5706531813708335,pred
0.6582454997436504,0.6490234299263541,0.6669710664296385,pred
0.7421065312381384,0.7337238688450195,0.7525342563414253,pred
0.8468357041383416,0.8360258773465068,0.8581977260265775,pred
0.9598934720743688,0.954101147887884,0.964831399654175,pred
